,pid,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,y
0,7,11.741502273245654,0.11647462049501649,11.305617570405724,11.305617570405724,2.6395975386024197,0.11179414062347122,0.11179414062347122,0.024368425013445924,0.9926220894468184,0.9926220894468184,0.016211438391599775,1269,92,6.759735488611315,0.9640598659930022,0.9919907843514806,0.9953529834747314,0.0,1.2497910261154175,0.9605919718742371,1.0329669713974,80.54919908466819
1,7,11.673853912956263,0.1183248856046644,11.64182140334215,11.64182140334215,0.17346408169844008,0.11803532083056223,0.11803532083056223,0.0008852880065378724,1.014002311787086,1.014002311787086,0.007504339413364813,1556,241,13.411240957150808,1.0335198616091146,1.0135888840731608,1.0153859853744507,0.0,1.2171390056610107,0.951649010181427,1.0879290103912354,71.50442477876106
2,7,15.97507763369693,0.16128066916463674,16.37607246662781,16.37607246662781,3.1947891820322685,0.16381161010077394,0.16381161010077394,0.02848062421329807,1.0046170234807619,1.0046170234807619,0.022073496444805607,1528,92,5.679012345679013,0.8164762750915859,1.0095767473732984,1.018706500530243,0.0,1.3049999475479126,0.9477567672729492,1.097400277853012,69.44444444444444
3,7,9.319349810806845,0.09373534226090828,9.793116511636956,9.793116511636956,1.6021637489950544,0.09801804434037756,0.09801804434037756,0.015167950607186051,1.0023769094371668,1.0023769094371668,0.009106078366917736,1682,342,16.897233201581027,1.0481780844125135,1.0058141840776436,1.0005484819412231,0.0,1.3075460195541382,0.9614870250225067,1.0397350192070007,79.86870897155362
4,7,9.720641149176537,0.0997080611919793,9.712653869641645,9.712653869641645,0.09261686335839237,0.09962685780774197,0.09962685780774197,0.0005798890447979779,1.0257792446169145,1.0257792446169145,0.0038110646329587716,1225,428,25.89231699939504,1.0750640371692515,1.0257354392763058,1.0116560459136963,0.0,1.3736670017242432,0.9690799713134766,1.0821900367736816,69.07775768535262
5,7,10.94586526442388,0.11109051779624052,10.474987357587427,10.474987357587427,2.5676344595051246,0.10638641471182263,0.10638641471182263,0.026447655751690294,1.0147017535007201,1.0147017535007201,0.003759659598231324,1182,200,14.47178002894356,1.0627065259218216,1.0149085075741393,1.0061969757080078,0.0,1.3723649978637695,0.9651087522506714,1.0706447958946228,73.93617021276596
6,7,8.45141062097026,0.08274626613667836,11.347708515202054,11.347708515202054,4.643782418544208,0.11211649173399232,0.11211649173399232,0.046603695427848056,0.9848796506369515,0.9848796506369515,0.007649362570309459,1048,125,10.656436487638533,1.0117366003990174,0.9790823076488824,0.9770039916038513,0.0,1.268926978111267,0.9454500079154968,1.0102499723434448,72.81746031746032
7,7,8.325820594485341,0.08549584974101122,8.325820594485341,8.325820594485341,0.0,0.08549584974101122,0.08549584974101122,0.0,1.0268759549976363,1.0268759549976363,0.0,697,166,19.235225955967554,1.066133361623948,1.0268759549976363,1.0161889791488647,0.0,1.385017991065979,0.9787690043449402,1.0731539726257324,74.6059544658494
8,7,9.992276221748291,0.10146373723468262,9.918107200696657,9.918107200696657,0.9921783468271252,0.10045964214721093,0.10045964214721093,0.008529680871290218,1.014439894956883,1.014439894956883,0.015480495189041321,1579,392,19.888381532217146,1.0673988435645492,1.0154216615213834,1.0027660131454468,0.0,1.2749639749526978,0.9690220057964325,1.062171995639801,61.80555555555556
9,7,7.3023357084209986,0.07265590260801612,7.462172836063164,7.462172836063164,0.8405815321079526,0.07469249667621185,0.07469249667621185,0.009322800959588234,0.9995585175233161,0.9995585175233161,0.012338184586474121,1135,225,16.544117647058822,0.9930748910374112,0.9949679870815838,0.992480993270874,0.0,1.286041021347046,0.9589439928531647,1.0327385067939758,65.74712643678161
